# q      i          sigma
0.017484 212.875952 5.898074
0.017990 212.549044 8.763226
0.018497 215.288606 20.963210
0.019004 212.762124 5.913120
0.019511 213.941981 0.987433
0.020018 212.164759 5.571260
0.020524 212.600634 4.786149
0.021031 211.900688 1.071549
0.021538 209.382650 7.089744
0.022045 211.476771 1.084821
0.022551 210.747697 1.109068
0.023058 208.729064 0.837483
0.023565 210.232432 0.871017
0.024072 209.220493 1.025577
0.024579 208.433591 0.908782
0.025085 207.978732 0.926737
0.025592 207.015511 0.717100
0.026099 205.873259 0.987371
0.026606 207.720812 0.873778
0.027112 204.754321 0.961607
0.027619 206.919014 0.888757
0.028126 206.761161 0.721614
0.028633 204.578957 0.714439
0.029139 205.354668 0.766873
0.029646 202.957049 0.746125
0.030153 203.047860 0.695870
0.030660 203.621013 0.673843
0.031167 203.239670 0.792078
0.031673 201.747381 0.662004
0.032180 201.590970 0.682384
0.032687 200.383782 0.644653
0.033194 200.113701 0.769269
0.033700 198.406552 0.601605
0.034207 199.059970 0.741062
0.034714 198.467601 0.606267
0.035221 198.576743 0.618937
0.035727 196.984424 0.539931
0.036234 196.890846 0.659718
0.036741 196.648540 0.540877
0.037248 195.447761 0.676772
0.037755 195.221014 0.514217
0.038261 194.819988 0.908565
0.038768 193.721835 1.884566
0.039275 193.218415 0.543427
0.039782 192.973916 0.521413
0.040288 191.609749 0.531196
0.040795 191.693021 0.514963
0.041302 191.321823 0.631474
0.041809 191.934284 0.573600
0.042315 190.579104 0.504282
0.042822 190.111962 0.491231
0.043329 189.175713 0.495948
0.043836 188.361107 0.543201
0.044343 187.363003 0.473236
0.044849 187.064421 0.489586
0.045356 185.564592 0.494041
0.045863 185.673058 0.500118
0.046370 184.134381 0.517964
0.046876 184.209611 0.512099
0.047383 183.244167 0.460497
0.047890 182.622451 0.500554
0.048397 181.643207 0.483967
0.048903 182.035919 0.435086
0.049410 180.491149 0.511783
0.049917 179.476544 0.477411
0.050424 179.040315 0.490492
0.050931 178.642337 0.486770
0.051437 176.644052 0.571179
0.051944 176.981038 0.462319
0.052451 175.771111 0.585666
0.052958 176.160000 0.456440
0.053464 174.535743 1.966661
0.053971 173.463304 1.304754
0.054478 173.345397 0.424808
0.054985 171.425209 0.507206
0.055491 170.817582 0.428239
0.055998 170.885972 0.417401
0.056505 169.622579 0.479355
0.057012 167.792605 0.424880
0.057519 167.309414 0.420460
0.058025 166.775373 0.468502
0.058532 166.040999 0.425575
0.059039 166.073955 0.421575
0.059546 165.169574 0.435538
0.060052 162.681153 0.394593
0.060559 162.969065 0.413884
0.061066 161.807030 0.400575
0.061573 161.995188 0.387166
0.062079 160.299944 0.405875
0.062586 159.219394 0.367338
0.063093 158.614098 0.429597
0.063600 157.545161 0.381710
0.064106 157.149245 0.350000
0.064613 156.148043 0.358944
0.065120 155.636409 0.391683
0.065627 155.065302 0.412392
0.066134 153.510690 0.383947
0.066640 152.869407 0.392648
0.067147 152.417465 0.367392
0.067654 151.341578 0.383019
0.068161 150.356920 0.395768
0.068667 149.919811 0.319784
0.069174 149.076516 0.337526
0.069681 147.197058 0.341648
0.070188 147.074835 0.318370
0.070694 145.502774 0.354053
0.071201 145.308777 0.324151
0.071708 144.108030 0.346349
0.072215 143.546677 0.345440
0.072721 142.665088 0.312843
0.073228 142.769015 0.353656
0.073735 140.872693 0.329336
0.074242 140.604241 0.316170
0.074748 139.307641 0.338861
0.075255 137.947755 0.349024
0.075762 137.590375 0.359427
0.076269 136.929931 0.328465
0.076776 136.457421 0.359655
0.077282 134.506779 0.335319
0.077789 134.359269 0.317513
0.078296 132.537008 0.313305
0.078803 133.058677 0.306537
0.079309 131.902717 0.317589
0.079816 131.947096 0.350452
